gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1300,16,8.27.21,8.29.21,9.24.21,,KL,M,N,Y,,
1301,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1302,16,8.27.21,8.31.21,10.01.21,,KL,M,N,Y,,
1303,16,8.27.21,9.2.21,9.28.21,,KL,M,Y,Y,,
1304,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1305,16,8.27.21,8.29.21,9.26.21,,KL,M,N,Y,,
1306,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1307,16,8.27.21,9.1.21,9.25.21,,KL,M,N,Y,,
1308,16,8.27.21,9.2.21,9.25.21,,KL,F,Y,Y,,
1309,16,8.27.21,9.8.21,,9.8.21,KL,,,Y,,
1310,16,8.27.21,9.9.21,10.11.21,,KL,,,Y,10.9-10.11,
1311,16,8.27.21,9.9.21,10.05.21,10.13.21,KL,F,N,Y,,
1312,16,8.27.21,9.2.21,9.28.21,,KL,M,N,Y,,
1313,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1314,16,8.27.21,8.29.21,9.30.21,,KL,F,N,Y,,
1315,16,8.27.21,9.1.21,10.04.21,,KL,M,N,Y,10.2-10.4,
1316,16,8.27.21,9.2.21,,9.21.21,KL,,,Y,,
1317,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1318,16,8.27.21,8.29.21,9.28.21,,KL,M,N,Y,,
1319,16,8.27.21,8.31.21,9.28.21,,KL,M,N,Y,,
1320,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1321,16,8.27.21,8.29.21,,,KL,F,Y,Y,missing date,
1322,16,8.27.21,9.2.21,9.29.21,,KL,M,N,Y,,
1323,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1324,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1325,16,8.27.21,9.9.21,,9.21.21,KL,,,Y,,
